"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj"
"160" "FBgn0204385" 587.811904696241 -0.83470253770911 0.176552140772223 3.20176666698885e-07 5.23665649573622e-06
"161" "FBgn0204386" 315.241007720174 -0.779056913925222 0.188340139937584 5.41728356855812e-06 6.74199010437549e-05
"162" "FBgn0204389" 149.479246354529 -1.41319545947284 0.19875678493611 9.68641672139152e-14 4.45616387978569e-12
"163" "FBgn0204415" 138.103079845925 1.21662483139595 0.544936311571138 0.00144673993401534 0.00867001409458972
"164" "FBgn0204421" 83.6053911846066 1.06746693918726 0.287940193778328 1.93979105703529e-05 0.00020887530993634
"165" "FBgn0204428" 42.4125493241334 1.13892504120703 0.40416431152489 0.000377014248881092 0.00280728417382558
"166" "FBgn0204445" 47.9445756424093 0.68654718745913 0.388767801518728 0.0104528314555452 0.0431154371865315
"167" "FBgn0204457" 271.570303325975 1.09337812623387 0.183098708259193 2.5559117370838e-10 7.36852314389679e-09
"168" "FBgn0204472" 928.250167923924 -0.581317953911094 0.139820608644242 8.60605702290313e-06 0.000103148650193576
"169" "FBgn0204475" 522.091869122191 0.6394702316486 0.128388666691713 1.48345329136523e-07 2.59928906530787e-06
"170" "FBgn0204479" 11.2826141461403 2.91070273449046 0.97700890251482 0.000163222683245051 0.00136790730896298
